Rk,Name,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Ryan Zimmerman,144,2017,32,WSN,NL,576,524,90,159,33,0,36,108,44,1,126,3,0,5,16,1,0,0.303,0.358,0.573,0.93,*3/HD
2,Joey Votto,162,2017,33,CIN,NL,707,559,106,179,34,1,36,100,134,20,83,8,0,6,16,5,1,0.32,0.454,0.578,1.032,*3
3,Danny Valencia,130,2017,32,SEA,AL,500,450,54,115,19,3,15,66,40,0,122,2,0,8,16,2,2,0.256,0.314,0.411,0.725,*3H9/5
4,Eric Thames,138,2017,30,MIL,NL,551,469,83,116,26,4,31,63,75,5,163,7,0,0,6,4,2,0.247,0.359,0.518,0.877,*37H/9D
5,Justin Smoak,158,2017,30,TOR,AL,637,560,85,151,29,1,38,90,73,3,128,2,0,2,17,0,1,0.27,0.355,0.529,0.883,*3/HD
6,Carlos Santana,154,2017,31,CLE,AL,667,571,90,148,37,3,23,79,88,6,94,6,0,2,11,5,1,0.259,0.363,0.455,0.818,*3/D9H
7,Anthony Rizzo,157,2017,27,CHC,NL,691,572,99,156,32,3,32,109,91,11,90,24,0,4,21,10,4,0.273,0.392,0.507,0.899,*34/H75
8,Mark Reynolds,148,2017,33,COL,NL,593,520,82,139,22,1,30,97,69,0,175,1,0,3,12,2,1,0.267,0.352,0.487,0.839,*3/HD7
9,Mike Napoli,124,2017,35,TEX,AL,485,425,60,82,11,1,29,66,49,3,163,7,0,3,11,1,2,0.193,0.285,0.428,0.713,*3D/H
10,Wil Myers,155,2017,26,SDP,NL,649,567,80,138,29,3,30,74,70,3,180,5,0,7,15,20,6,0.243,0.328,0.464,0.792,*3/H4D
11,Logan Morrison,149,2017,29,TBR,AL,601,512,75,126,22,1,38,85,81,8,149,5,0,3,12,2,0,0.246,0.353,0.516,0.868,*3DH
12,Mitch Moreland,149,2017,31,BOS,AL,576,508,73,125,34,0,22,79,57,6,120,6,0,5,14,0,1,0.246,0.326,0.443,0.769,*3H/D1
13,Tyler Moore,104,2017,30,MIA,NL,203,187,17,43,14,0,6,30,10,0,56,1,1,4,7,0,0,0.23,0.267,0.401,0.668,*H3/79
14,Joe Mauer,141,2017,34,MIN,AL,597,525,69,160,36,1,7,71,66,3,83,3,0,3,17,2,1,0.305,0.384,0.417,0.801,*3D/H
15,Adam Lind,116,2017,33,WSN,NL,301,267,39,81,14,0,14,59,28,5,47,0,0,6,6,1,0,0.303,0.362,0.513,0.875,H37/D
16,Tommy Joseph,142,2017,25,PHI,NL,533,495,51,119,27,1,22,69,33,1,129,2,0,3,21,1,0,0.24,0.289,0.432,0.721,*3H/D
17,Eric Hosmer,162,2017,27,KCR,AL,671,603,98,192,31,1,25,94,66,3,104,0,0,2,20,6,1,0.318,0.385,0.498,0.882,*3/DH
18,Yuli Gurriel,139,2017,33,HOU,AL,564,529,69,158,43,1,18,75,22,1,62,7,0,6,12,3,2,0.299,0.332,0.486,0.817,*3/5DH4
19,Paul Goldschmidt,155,2017,29,ARI,NL,665,558,117,166,34,3,36,120,94,15,147,8,0,4,14,18,5,0.297,0.404,0.563,0.966,*3/HD
20,Freddie Freeman,117,2017,27,ATL,NL,514,440,84,135,35,2,28,71,65,14,95,7,0,2,9,8,5,0.307,0.403,0.586,0.989,*35/H
21,Lucas Duda,127,2017,31,TOT,ML,491,423,50,92,28,0,30,64,60,6,135,6,0,2,9,0,0,0.217,0.322,0.496,0.818,*3DH
22,Chris Davis,128,2017,31,BAL,AL,524,456,65,98,15,1,26,61,61,4,195,3,0,4,7,1,1,0.215,0.309,0.423,0.732,*3/D5
23,C.J. Cron,100,2017,27,LAA,AL,373,339,39,84,14,1,16,56,22,0,96,7,0,3,5,3,2,0.248,0.305,0.437,0.741,*3/H
24,Matt Carpenter,145,2017,31,STL,NL,622,497,91,120,31,2,23,69,109,4,125,9,2,5,5,2,1,0.241,0.384,0.451,0.835,*354/HD
25,Miguel Cabrera,130,2017,34,DET,AL,529,469,50,117,22,0,16,60,54,6,110,3,0,3,15,0,1,0.249,0.329,0.399,0.728,*3D/H
26,Justin Bour,108,2017,29,MIA,NL,429,377,52,109,18,0,25,83,47,7,95,1,0,4,10,1,0,0.289,0.366,0.536,0.902,*3/HD
27,Brandon Belt,104,2017,29,SFG,NL,451,382,63,92,27,3,18,51,66,2,104,2,0,1,5,3,2,0.241,0.355,0.469,0.823,*37/H9
28,Cody Bellinger,132,2017,21,LAD,NL,548,480,87,128,26,4,39,97,64,13,146,1,0,3,5,10,3,0.267,0.352,0.581,0.933,*37/9H8D
29,Josh Bell,159,2017,24,PIT,NL,620,549,75,140,26,6,26,90,66,4,117,1,0,4,15,2,4,0.255,0.334,0.466,0.8,*3H/D
30,Yonder Alonso,142,2017,30,TOT,AL,521,451,72,120,22,0,28,67,68,6,118,2,0,0,9,2,0,0.266,0.365,0.501,0.866,*3H/D
31,Jesus Aguilar,133,2017,27,MIL,NL,311,279,40,74,15,2,16,52,25,1,94,4,0,3,8,0,0,0.265,0.331,0.505,0.837,*3H/D5
32,Matt Adams,131,2017,28,TOT,NL,367,339,46,93,22,1,20,65,23,5,88,1,0,4,5,0,0,0.274,0.319,0.522,0.841,3H7/D
33,Jose Abreu,156,2017,30,CHW,AL,675,621,95,189,43,6,33,102,35,6,119,15,0,4,21,3,0,0.304,0.354,0.552,0.906,*3D
