Rk,Name â–²,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Alex Avila,112,2017,30,TOT,ML,376,311,41,82,13,1,14,49,62,2,120,1,1,1,10,0,1,0.264,0.387,0.447,0.834,*2H3/D
2,Austin Barnes,102,2017,27,LAD,NL,262,218,35,63,15,2,8,38,39,1,43,5,0,0,6,4,1,0.289,0.408,0.486,0.895,*2H4/D5
3,Austin Hedges,120,2017,24,SDP,NL,417,387,36,83,17,0,18,55,23,3,122,3,1,3,10,4,1,0.214,0.262,0.398,0.66,*2/HD
4,Buster Posey,140,2017,30,SFG,NL,568,494,62,158,34,0,12,67,61,13,66,8,0,5,17,6,1,0.32,0.4,0.462,0.861,*23/HD
5,Chris Herrmann,106,2017,29,ARI,NL,256,226,35,41,7,0,10,27,29,0,67,0,0,1,1,5,0,0.181,0.273,0.345,0.619,2H7/39
6,Gary Sanchez,122,2017,24,NYY,AL,525,471,79,131,20,0,33,90,40,1,120,10,0,4,9,2,1,0.278,0.345,0.531,0.876,*2D/H3
7,J.T. Realmuto,141,2017,26,MIA,NL,579,532,68,148,31,5,17,65,36,4,106,8,0,3,13,8,2,0.278,0.332,0.451,0.783,*2/3HD
8,James McCann,106,2017,27,DET,AL,391,352,39,89,14,2,13,49,26,0,89,9,1,3,8,1,0,0.253,0.318,0.415,0.733,*2/HD
9,Jason Castro,110,2017,30,MIN,AL,407,356,49,86,22,0,10,47,45,1,108,4,1,1,10,0,0,0.242,0.333,0.388,0.72,*2/H
10,Jonathan Lucroy,123,2017,31,TOT,ML,481,423,45,112,21,3,6,40,46,6,51,8,0,4,16,1,0,0.265,0.345,0.371,0.716,*2D/H3
11,Manny Pina,107,2017,30,MIL,NL,359,330,45,92,21,0,9,43,20,0,79,5,1,3,8,2,0,0.279,0.327,0.424,0.751,*2H
12,Martin Maldonado,138,2017,30,LAA,AL,471,429,43,95,19,1,14,38,15,1,119,18,8,1,12,0,2,0.221,0.276,0.368,0.645,*2/H3
13,Matt Wieters,123,2017,31,WSN,NL,465,422,43,95,20,0,10,52,38,4,94,1,0,4,14,1,0,0.225,0.288,0.344,0.632,*2/H
14,Mike Zunino,124,2017,26,SEA,AL,435,387,52,97,25,0,25,64,39,0,160,8,0,1,8,1,0,0.251,0.331,0.509,0.84,*2/HD
15,Nick Hundley,101,2017,33,SFG,NL,303,287,27,70,23,0,9,35,12,2,81,0,2,2,6,0,0,0.244,0.272,0.418,0.691,*2H/D
16,Salvador Perez,129,2017,27,KCR,AL,499,471,57,126,24,1,27,80,17,3,95,5,0,5,23,1,0,0.268,0.297,0.495,0.792,*2D/H
17,Travis d'Arnaud,112,2017,28,NYM,NL,376,348,39,85,19,1,16,57,23,3,59,2,0,3,12,0,0,0.244,0.293,0.443,0.735,*2H/4D5
18,Tucker Barnhart,121,2017,26,CIN,NL,423,370,26,100,24,2,7,44,42,11,68,3,5,3,12,4,0,0.27,0.347,0.403,0.75,*2H
19,Willson Contreras,117,2017,25,CHC,NL,428,377,50,104,21,0,21,74,45,2,98,3,1,2,13,5,4,0.276,0.356,0.499,0.855,*2H/3795
20,Yadier Molina,136,2017,34,STL,NL,543,501,60,137,27,1,18,82,28,4,74,4,1,9,14,9,4,0.273,0.312,0.439,0.751,*2/H3
21,Yan Gomes,105,2017,29,CLE,AL,383,341,43,79,15,0,14,56,31,0,99,8,1,2,9,0,0,0.232,0.309,0.399,0.708,*2/H
22,Yasmani Grandal,129,2017,28,LAD,NL,482,438,50,108,27,0,22,58,40,0,130,0,1,3,10,0,1,0.247,0.308,0.459,0.767,*2H
