Rk,Name â–²,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Adam Duvall,157,2017,28,CIN,NL,647,587,78,146,37,3,31,99,39,1,170,10,0,11,11,5,3,0.249,0.301,0.48,0.782,*7/H3D
2,Alex Gordon,148,2017,33,KCR,AL,541,476,52,99,20,2,9,45,45,3,126,14,2,4,7,7,4,0.208,0.293,0.315,0.608,*78/H9
3,Allen Cordoba,100,2017,21,SDP,NL,227,202,17,42,2,2,4,15,18,1,54,4,0,3,2,2,2,0.208,0.282,0.297,0.579,7H6/8954
4,Andrew Benintendi,151,2017,22,BOS,AL,658,573,84,155,26,1,20,90,70,7,112,6,1,8,16,20,5,0.271,0.352,0.424,0.776,*78/H
5,Ben Gamel,134,2017,25,SEA,AL,550,509,68,140,27,5,11,59,36,1,122,1,1,3,8,4,1,0.275,0.322,0.413,0.735,*79/H3
6,Ben Revere,109,2017,29,LAA,AL,308,291,37,80,13,2,1,20,15,0,25,0,0,2,7,21,6,0.275,0.308,0.344,0.652,*7H/8D
7,Brett Gardner,151,2017,33,NYY,AL,682,594,96,157,26,4,21,63,72,2,122,8,5,3,4,23,5,0.264,0.35,0.428,0.778,*78H/D
8,Corey Dickerson,150,2017,28,TBR,AL,629,588,84,166,33,4,27,62,35,6,152,3,0,2,11,4,3,0.282,0.325,0.49,0.815,*7DH
9,Delino DeShields,120,2017,24,TEX,AL,440,376,75,101,15,2,6,22,44,0,109,3,13,4,2,29,8,0.269,0.347,0.367,0.714,*78H/D
10,Eddie Rosario,151,2017,25,MIN,AL,589,542,79,157,33,2,27,78,35,1,106,0,4,8,10,9,8,0.29,0.328,0.507,0.836,*798/D
11,Ezequiel Carrera,131,2017,30,TOR,AL,325,287,38,81,10,1,8,20,30,0,75,3,5,0,4,10,1,0.282,0.356,0.408,0.764,*7H98/D
12,Gerardo Parra,115,2017,30,COL,NL,425,392,56,121,24,1,10,71,20,0,67,4,0,9,13,2,5,0.309,0.341,0.452,0.793,*79H/38D
13,Guillermo Heredia,123,2017,26,SEA,AL,426,386,43,96,16,0,6,24,27,2,64,11,1,1,9,1,5,0.249,0.315,0.337,0.652,*8*7/HD9
14,Jon Jay,141,2017,32,CHC,NL,433,379,65,112,18,3,2,34,37,3,80,12,3,2,11,6,2,0.296,0.374,0.375,0.749,78H9/D1
15,Justin Upton,152,2017,29,TOT,AL,635,557,100,152,44,0,35,109,74,3,180,3,0,1,9,14,5,0.273,0.361,0.54,0.901,*7/H
16,Khris Davis,153,2017,29,OAK,AL,652,566,91,140,28,1,43,110,73,1,195,6,0,7,20,4,0,0.247,0.336,0.528,0.864,*7D/H
17,Kyle Schwarber,129,2017,24,CHC,NL,486,422,67,89,16,1,30,59,59,1,150,5,0,0,6,1,1,0.211,0.315,0.467,0.782,*7H/D23
18,Marcell Ozuna,159,2017,26,MIA,NL,679,613,93,191,30,2,37,124,64,4,144,0,0,2,18,1,3,0.312,0.376,0.548,0.924,*7/H8D9
19,Matt Kemp,115,2017,32,ATL,NL,467,438,47,121,23,1,19,64,27,5,99,0,0,1,25,0,2,0.276,0.318,0.463,0.781,*7/HD
20,Matt Szczur,119,2017,27,TOT,NL,237,195,28,44,12,2,3,18,34,0,44,4,3,1,2,0,2,0.226,0.35,0.354,0.704,H789
21,Melky Cabrera,156,2017,32,TOT,AL,666,620,78,177,30,2,17,85,36,1,74,2,2,6,19,1,2,0.285,0.324,0.423,0.746,*79/DH
22,Michael Conforto,109,2017,24,NYM,NL,440,373,72,104,20,1,27,68,57,5,113,8,0,2,3,2,0,0.279,0.384,0.555,0.939,78H9/D
23,Norichika Aoki,109,2017,35,TOT,ML,374,336,48,93,20,2,5,35,29,1,44,3,1,5,12,10,2,0.277,0.335,0.393,0.728,*79H/81D
24,Randal Grichuk,122,2017,25,STL,NL,442,412,53,98,25,3,22,59,26,3,133,2,0,2,9,6,1,0.238,0.285,0.473,0.758,79H/8
25,Ryan Braun,104,2017,33,MIL,NL,425,380,58,102,28,2,17,52,38,2,76,3,0,4,15,12,4,0.268,0.336,0.487,0.823,*7/HD
26,Tommy Pham,128,2017,29,STL,NL,530,444,95,136,22,2,23,73,71,0,117,10,2,3,18,25,7,0.306,0.411,0.52,0.931,*78H/9
27,Trey Mancini,147,2017,25,BAL,AL,586,543,65,159,26,4,24,78,33,1,139,6,0,4,12,1,0,0.293,0.338,0.488,0.826,*73D/H9
