Rk,Name,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Giancarlo Stanton,159,2017,27,MIA,NL,692,597,123,168,32,0,59,132,85,13,163,7,0,3,13,2,2,0.281,0.376,0.631,1.007,*9/HD
2,George Springer,140,2017,27,HOU,AL,629,548,112,155,29,0,34,85,64,1,111,11,0,4,11,5,7,0.283,0.367,0.522,0.889,*8*9/DH
3,Steven Souza,148,2017,28,TBR,AL,617,523,78,125,21,2,30,78,84,2,179,7,2,1,9,16,4,0.239,0.351,0.459,0.81,*9/DH8
4,Seth Smith,111,2017,34,BAL,AL,373,330,50,85,19,0,13,32,36,3,79,6,0,1,7,2,0,0.258,0.34,0.433,0.774,*9H7/D
5,Scott Schebler,141,2017,26,CIN,NL,531,473,63,110,25,2,30,67,39,5,125,14,0,5,7,5,3,0.233,0.307,0.484,0.791,*98H
6,Domingo Santana,151,2017,24,MIL,NL,607,525,88,146,29,0,30,85,73,2,178,6,0,3,12,15,4,0.278,0.371,0.505,0.875,*9/H
7,Hunter Renfroe,122,2017,25,SDP,NL,479,445,51,103,25,1,26,58,27,1,140,6,0,1,4,3,0,0.231,0.284,0.467,0.751,*9/HD
8,Josh Reddick,134,2017,30,HOU,AL,540,477,77,150,34,4,13,82,43,1,72,0,1,12,9,7,3,0.314,0.363,0.484,0.847,*978/HD3
9,Yasiel Puig,152,2017,26,LAD,NL,570,499,72,131,24,2,28,74,64,8,100,2,0,5,21,15,6,0.263,0.346,0.487,0.833,*9H
10,Gregory Polanco,108,2017,25,PIT,NL,411,379,39,95,20,0,11,35,27,4,60,3,0,1,5,8,1,0.251,0.305,0.391,0.695,*97H/8D
11,Stephen Piscotty,107,2017,26,STL,NL,401,341,40,80,16,1,9,39,52,2,87,5,0,3,11,3,6,0.235,0.342,0.367,0.708,*9H
12,David Peralta,140,2017,29,ARI,NL,577,525,82,154,31,3,14,57,43,1,94,6,0,3,7,8,4,0.293,0.352,0.444,0.796,*97H/D
13,Hunter Pence,134,2017,34,SFG,NL,539,493,55,128,13,5,13,67,40,1,102,2,0,4,8,2,3,0.26,0.315,0.385,0.701,*9H/D
14,Nomar Mazara,148,2017,22,TEX,AL,616,554,64,140,30,2,20,101,55,6,127,4,0,3,12,2,2,0.253,0.323,0.422,0.745,*97D/H
15,J.D. Martinez,119,2017,29,TOT,ML,489,432,85,131,26,3,45,104,53,8,128,0,0,4,23,4,0,0.303,0.376,0.69,1.066,*9/DH
16,Nick Markakis,160,2017,33,ATL,NL,670,593,76,163,39,1,8,76,68,8,110,6,0,3,16,0,2,0.275,0.354,0.384,0.738,*9/HD
17,Max Kepler,147,2017,24,MIN,AL,568,511,67,124,32,2,19,69,47,2,114,6,1,3,5,6,1,0.243,0.312,0.425,0.737,*98H/D
18,Aaron Judge,155,2017,25,NYY,AL,678,542,128,154,24,3,52,114,127,11,208,5,0,4,15,9,4,0.284,0.422,0.627,1.049,*9D/H
19,Matthew Joyce,141,2017,32,OAK,AL,544,469,78,114,33,0,25,68,66,0,113,2,0,7,10,4,1,0.243,0.335,0.473,0.808,*97H/D8
20,John Jaso,126,2017,33,PIT,NL,302,256,28,54,19,0,10,35,40,2,66,5,0,1,5,1,1,0.211,0.328,0.402,0.73,H937
21,Jason Heyward,126,2017,27,CHC,NL,481,432,59,112,15,4,11,59,41,1,67,3,2,2,8,4,4,0.259,0.326,0.389,0.715,*98/H
22,Bryce Harper,111,2017,24,WSN,NL,492,420,95,134,27,1,29,87,68,11,99,1,0,3,15,4,2,0.319,0.413,0.595,1.008,*9/H
23,Randal Grichuk,122,2017,25,STL,NL,442,412,53,98,25,3,22,59,26,3,133,2,0,2,9,6,1,0.238,0.285,0.473,0.758,79H/8
24,Carlos Gonzalez,136,2017,31,COL,NL,534,470,72,123,34,0,14,57,56,3,119,2,0,6,9,3,0,0.262,0.339,0.423,0.762,*9/HD
25,Avisail Garcia,136,2017,26,CHW,AL,561,518,75,171,27,5,18,80,33,5,111,9,0,1,14,5,3,0.33,0.38,0.506,0.885,*9/DH
26,Shin-Soo Choo,149,2017,34,TEX,AL,636,544,96,142,20,1,22,78,77,1,134,7,3,5,18,12,3,0.261,0.357,0.423,0.78,*9D/H
27,Kole Calhoun,155,2017,29,LAA,AL,654,569,77,139,23,2,19,71,71,4,134,8,0,6,10,5,1,0.244,0.333,0.392,0.725,*9/H
28,Jay Bruce,146,2017,30,TOT,ML,617,555,82,141,29,2,36,101,57,0,139,2,0,3,11,1,1,0.254,0.324,0.508,0.832,*93/DH
29,Jorge Bonifacio,113,2017,24,KCR,AL,422,384,55,98,15,1,17,40,35,0,118,2,0,1,8,1,1,0.255,0.32,0.432,0.752,*9H/7D8
30,Mookie Betts,153,2017,24,BOS,AL,712,628,101,166,46,2,24,102,77,9,79,2,0,5,9,26,3,0.264,0.344,0.459,0.803,*9
31,Jose Bautista,157,2017,36,TOR,AL,686,587,92,119,27,0,23,65,84,3,170,8,0,7,16,6,3,0.203,0.308,0.366,0.674,*9D/5H3
